"Key","Title","Description","CategoryGroupID"
"NL01  ","Nederland","Grenswijziging per 01-01-2018:
- Ontvangen van Buitenland (NL98), 16 hectare met 0 woningen en 0 inwoners
... Eijsden-Margraten (GM1903) ontvangt van Buitenland (GM0998), 16 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2018:
- Over naar Buitenland (NL98), 5 hectare met 0 woningen en 0 inwoners
... Over van Eijsden-Margraten (GM1903) naar Buitenland (GM0998), 5 hectare met 0 woningen en 0 inwoners

",
"LD01  ","Noord-Nederland (LD)","LD = Landsdeel

Noord-Nederland: Groningen, Fryslân, Drenthe

Regionale groepering van provincies. Nederland telt 4 landsdelen.

",
"LD02  ","Oost-Nederland (LD)","LD = Landsdeel

Oost-Nederland: Overijssel, Flevoland, Gelderland

Regionale groepering van provincies. Nederland telt 4 landsdelen.

Grenswijziging per 01-01-2016:
- Ontvangen van Zuid-Nederland (LD04), 0 hectare met 0 woningen en 5 inwoners
... Berg en Dal (GM1945) ontvangt van Mook en Middelaar (GM0944), 0 hectare met 0 woningen en 5 inwoners

",
"LD03  ","West-Nederland (LD)","LD = Landsdeel

West-Nederland: Utrecht, Noord-Holland, Zuid-Holland, Zeeland

Regionale groepering van provincies. Nederland telt 4 landsdelen.

",
"LD04  ","Zuid-Nederland (LD)","LD = Landsdeel

Zuid-Nederland: Noord-Brabant, Limburg

Regionale groepering van provincies. Nederland telt 4 landsdelen.

Grenswijziging per 01-01-2018:
- Ontvangen van Buitenland (LD98), 16 hectare met 0 woningen en 0 inwoners
... Eijsden-Margraten (GM1903) ontvangt van Buitenland (GM0998), 16 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2018:
- Over naar Buitenland (LD98), 5 hectare met 0 woningen en 0 inwoners
... Over van Eijsden-Margraten (GM1903) naar Buitenland (GM0998), 5 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2016:
- Over naar Oost-Nederland (LD02), 0 hectare met 0 woningen en 5 inwoners
... Over van Mook en Middelaar (GM0944) naar Berg en Dal (GM1945), 0 hectare met 0 woningen en 5 inwoners

",
"PV20  ","Groningen (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Grenswijziging per 01-01-2021:
- Over naar Fryslân (PV21), 25 hectare met 0 woningen en 0 inwoners
... Over van Het Hogeland (GM1966) naar Schiermonnikoog (GM0088), 25 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2009:
- Ontvangen van Drenthe (PV22), 3 hectare met 0 woningen en 0 inwoners
... Groningen (GM0014) ontvangt van Noordenveld (GM1699), 3 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2006:
- Over naar Fryslân (PV21), 61 hectare met 0 woningen en 0 inwoners
... Over van Eemsmond (GM1651) naar Schiermonnikoog (GM0088), 61 hectare met 0 woningen en 0 inwoners

",
"PV21  ","Fryslân (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Vanaf 01-01-2020 hanteert het CBS de Friese naam (Fryslân) voor de provincie Friesland. Bij actualisering van tabellen wordt deze taalwijziging doorgevoerd. Stopgezette tabellen worden niet meer aangepast.

Grenswijziging per 01-01-2021:
- Ontvangen van Groningen (PV20), 25 hectare met 0 woningen en 0 inwoners
... Schiermonnikoog (GM0088) ontvangt van Het Hogeland (GM1966), 25 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2006:
- Ontvangen van Groningen (PV20), 61 hectare met 0 woningen en 0 inwoners
... Schiermonnikoog (GM0088) ontvangt van Eemsmond (GM1651), 61 hectare met 0 woningen en 0 inwoners

",
"PV22  ","Drenthe (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Grenswijziging per 01-01-2009:
- Over naar Groningen (PV20), 3 hectare met 0 woningen en 0 inwoners
... Over van Noordenveld (GM1699) naar Groningen (GM0014), 3 hectare met 0 woningen en 0 inwoners

",
"PV23  ","Overijssel (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

",
"PV24  ","Flevoland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

",
"PV25  ","Gelderland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Grenswijziging per 01-01-2016:
- Ontvangen van Limburg (PV31), 0 hectare met 0 woningen en 5 inwoners
... Berg en Dal (GM1945) ontvangt van Mook en Middelaar (GM0944), 0 hectare met 0 woningen en 5 inwoners

",
"PV26  ","Utrecht (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Grenswijziging per 01-01-2019:
- Ontvangen van Zuid-Holland (PV28), 10721 hectare met 14649 woningen en 35268 inwoners
... Vijfheerenlanden (GM1961) ontvangt van het opgeheven Leerdam (GM0545), 3376 hectare met 8988 woningen en 21248 inwoners
... Vijfheerenlanden (GM1961) ontvangt van het opgeheven Zederik (GM0707), 7345 hectare met 5661 woningen en 14020 inwoners

Grenswijziging per 01-01-2012:
- Ontvangen van Noord-Holland (PV27), 0 hectare met 0 woningen en 4 inwoners
... Stichtse Vecht (GM1904) ontvangt van Wijdemeren (GM1696), 0 hectare met 0 woningen en 4 inwoners

Grenswijziging per 01-01-2002:
- Ontvangen van Zuid-Holland (PV28), 3962 hectare met 7518 woningen en 19443 inwoners
... Vianen (GM0620) wordt overgeheveld van provincie, 3962 hectare met 7518 woningen en 19443 inwoners
- Over naar Noord-Holland (PV27), 1533 hectare met 3677 woningen en 8902 inwoners
... Loosdrecht (GM0330) wordt opgeheven en gaat over naar Wijdemeren (GM1696), 1533 hectare met 3677 woningen en 8902 inwoners

",
"PV27  ","Noord-Holland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Grenswijziging per 01-01-2013:
- Ontvangen van Zuid-Holland (PV28), 2 hectare met 0 woningen en 0 inwoners
... Bloemendaal (GM0377) ontvangt van Hillegom (GM0534), 2 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2012:
- Over naar Utrecht (PV26), 0 hectare met 0 woningen en 4 inwoners
... Over van Wijdemeren (GM1696) naar Stichtse Vecht (GM1904), 0 hectare met 0 woningen en 4 inwoners
- Over naar Zuid-Holland (PV28), 3 hectare met 4 woningen en 10 inwoners
... Over van Uithoorn (GM0451) naar Kaag en Braassem (GM1884), 3 hectare met 4 woningen en 10 inwoners

Grenswijziging per 01-01-2002:
- Ontvangen van Utrecht (PV26), 1533 hectare met 3677 woningen en 8902 inwoners
... Wijdemeren (GM1696) ontvangt van het opgeheven Loosdrecht (GM0330), 1533 hectare met 3677 woningen en 8902 inwoners

",
"PV28  ","Zuid-Holland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Grenswijziging per 01-01-2019:
- Over naar Utrecht (PV26), 10721 hectare met 14649 woningen en 35268 inwoners
... Leerdam (GM0545) wordt opgeheven en gaat over naar Vijfheerenlanden (GM1961), 3376 hectare met 8988 woningen en 21248 inwoners
... Zederik (GM0707) wordt opgeheven en gaat over naar Vijfheerenlanden (GM1961), 7345 hectare met 5661 woningen en 14020 inwoners

Grenswijziging per 01-01-2013:
- Over naar Noord-Holland (PV27), 2 hectare met 0 woningen en 0 inwoners
... Over van Hillegom (GM0534) naar Bloemendaal (GM0377), 2 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2012:
- Ontvangen van Noord-Holland (PV27), 3 hectare met 4 woningen en 10 inwoners
... Kaag en Braassem (GM1884) ontvangt van Uithoorn (GM0451), 3 hectare met 4 woningen en 10 inwoners

Grenswijziging per 01-01-2002:
- Over naar Utrecht (PV26), 3962 hectare met 7518 woningen en 19443 inwoners
... Vianen (GM0620) wordt overgeheveld van provincie, 3962 hectare met 7518 woningen en 19443 inwoners

",
"PV29  ","Zeeland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

",
"PV30  ","Noord-Brabant (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

",
